,contrast,sign,task,x,y,z
6868,non_speech_sound,neg,archi_social,-25.5,18.0,-24.0
6869,non_speech_sound,neg,archi_social,45.0,21.0,-19.5
6870,non_speech_sound,neg,archi_social,43.5,21.0,-15.0
6871,non_speech_sound,neg,archi_social,-6.0,-21.0,9.0
6872,non_speech_sound,neg,archi_social,-1.5,-18.0,7.5
6873,non_speech_sound,neg,archi_social,51.0,7.5,42.0
6874,non_speech_sound,neg,archi_social,24.0,-82.5,18.0
6875,non_speech_sound,neg,archi_social,42.0,6.0,24.0
6876,non_speech_sound,neg,archi_social,-9.0,-70.5,13.5
6877,non_speech_sound,neg,archi_social,-7.5,-76.5,12.0
6878,non_speech_sound,neg,archi_social,4.5,51.0,19.5
6879,non_speech_sound,neg,archi_social,3.0,51.0,22.5
6880,non_speech_sound,neg,archi_social,55.5,12.0,-28.5
6881,non_speech_sound,neg,archi_social,-43.5,4.5,21.0
6882,non_speech_sound,neg,archi_social,9.0,36.0,15.0
6883,non_speech_sound,neg,archi_social,42.0,-64.5,-24.0
6884,non_speech_sound,neg,archi_social,9.0,-58.5,43.5
6885,non_speech_sound,neg,archi_social,-15.0,-64.5,18.0
6886,non_speech_sound,neg,archi_social,36.0,-24.0,52.5
6887,non_speech_sound,neg,archi_social,-15.0,-54.0,67.5
6888,non_speech_sound,neg,archi_social,-6.0,-66.0,-3.0
6889,non_speech_sound,neg,archi_social,40.5,10.5,31.5
6890,non_speech_sound,neg,archi_social,21.0,66.0,22.5
6891,non_speech_sound,neg,archi_social,19.5,67.5,-4.5
6892,non_speech_sound,neg,archi_social,18.0,70.5,-6.0
6893,non_speech_sound,neg,archi_social,-51.0,-4.5,-19.5
6894,non_speech_sound,neg,archi_social,24.0,69.0,4.5
6895,non_speech_sound,neg,archi_social,16.5,-81.0,24.0
6896,non_speech_sound,neg,archi_social,42.0,-73.5,-15.0
6897,non_speech_sound,neg,archi_social,-25.5,3.0,-30.0
6898,non_speech_sound,neg,archi_social,34.5,24.0,10.5
