,contrast,sign,task,x,y,z
6899,non_speech_sound,neg,archi_social,33.0,25.5,4.5
6900,non_speech_sound,neg,archi_social,24.0,-72.0,45.0
6901,non_speech_sound,neg,archi_social,19.5,48.0,39.0
6902,non_speech_sound,neg,archi_social,16.5,52.5,34.5
6903,triangle_mental-random,pos,archi_social,57.0,-49.5,4.5
6904,triangle_mental-random,pos,archi_social,60.0,-57.0,19.5
6905,triangle_mental-random,pos,archi_social,49.5,-67.5,-16.5
6906,triangle_mental-random,pos,archi_social,42.0,-70.5,-16.5
6907,triangle_mental-random,pos,archi_social,-36.0,-88.5,-18.0
6908,triangle_mental-random,pos,archi_social,-45.0,-67.5,9.0
6909,triangle_mental-random,pos,archi_social,-54.0,-69.0,7.5
6910,triangle_mental-random,pos,archi_social,-45.0,-73.5,-19.5
6911,triangle_mental-random,pos,archi_social,45.0,-4.26325641456e-14,58.5
6912,triangle_mental-random,pos,archi_social,49.5,4.5,52.5
6913,triangle_mental-random,pos,archi_social,43.5,3.0,48.0
6914,triangle_mental-random,pos,archi_social,45.0,4.5,51.0
6915,triangle_mental-random,pos,archi_social,40.5,-88.5,-6.0
6916,triangle_mental-random,pos,archi_social,30.0,-76.5,33.0
6917,triangle_mental-random,pos,archi_social,30.0,-90.0,-4.5
6918,triangle_mental-random,pos,archi_social,-42.0,-43.5,-27.0
6919,triangle_mental-random,pos,archi_social,-36.0,-42.0,-22.5
6920,triangle_mental-random,pos,archi_social,-36.0,-39.0,-22.5
6921,triangle_mental-random,pos,archi_social,-36.0,-37.5,-25.5
6922,triangle_mental-random,pos,archi_social,40.5,-85.5,-15.0
6923,triangle_mental-random,pos,archi_social,-18.0,-78.0,-43.5
6924,triangle_mental-random,pos,archi_social,67.5,-39.0,22.5
6925,triangle_mental-random,pos,archi_social,-46.5,-33.0,-22.5
6926,triangle_mental-random,pos,archi_social,-43.5,-36.0,-19.5
6927,triangle_mental-random,pos,archi_social,27.0,-91.5,-21.0
6928,triangle_mental-random,pos,archi_social,49.5,7.5,19.5
