,Unnamed: 0,atlas,classifier,compcor_10,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,min_region_size_in_mm3,motion_regress,n_regions,region_extraction,scores,scoring,smoothing_fwhm
42,42,dictlearn,svc_l1,yes,no,COBRE,40,4,tangent,1500,yes,109,yes,[ 0.78125],roc_auc,6.0
43,43,dictlearn,svc_l2,yes,no,COBRE,40,4,tangent,1500,yes,109,yes,[ 0.89375],roc_auc,6.0
44,44,dictlearn,ridge,yes,no,COBRE,40,4,tangent,1500,yes,109,yes,[ 0.89375],roc_auc,6.0
45,45,dictlearn,svc_l1,yes,no,COBRE,40,5,correlation,1500,yes,111,yes,[ 0.609375],roc_auc,6.0
46,46,dictlearn,svc_l2,yes,no,COBRE,40,5,correlation,1500,yes,111,yes,[ 0.696875],roc_auc,6.0
47,47,dictlearn,ridge,yes,no,COBRE,40,5,correlation,1500,yes,111,yes,[ 0.696875],roc_auc,6.0
48,48,dictlearn,svc_l1,yes,no,COBRE,40,5,partial correlation,1500,yes,111,yes,[ 0.73125],roc_auc,6.0
49,49,dictlearn,svc_l2,yes,no,COBRE,40,5,partial correlation,1500,yes,111,yes,[ 0.81875],roc_auc,6.0
50,50,dictlearn,ridge,yes,no,COBRE,40,5,partial correlation,1500,yes,111,yes,[ 0.821875],roc_auc,6.0
51,51,dictlearn,svc_l1,yes,no,COBRE,40,5,tangent,1500,yes,111,yes,[ 0.671875],roc_auc,6.0
52,52,dictlearn,svc_l2,yes,no,COBRE,40,5,tangent,1500,yes,111,yes,[ 0.784375],roc_auc,6.0
53,53,dictlearn,ridge,yes,no,COBRE,40,5,tangent,1500,yes,111,yes,[ 0.784375],roc_auc,6.0
54,54,dictlearn,svc_l1,yes,no,COBRE,40,6,correlation,1500,yes,115,yes,[ 0.646875],roc_auc,6.0
55,55,dictlearn,svc_l2,yes,no,COBRE,40,6,correlation,1500,yes,115,yes,[ 0.821875],roc_auc,6.0
56,56,dictlearn,ridge,yes,no,COBRE,40,6,correlation,1500,yes,115,yes,[ 0.815625],roc_auc,6.0
57,57,dictlearn,svc_l1,yes,no,COBRE,40,6,partial correlation,1500,yes,115,yes,[ 0.71875],roc_auc,6.0
58,58,dictlearn,svc_l2,yes,no,COBRE,40,6,partial correlation,1500,yes,115,yes,[ 0.853125],roc_auc,6.0
59,59,dictlearn,ridge,yes,no,COBRE,40,6,partial correlation,1500,yes,115,yes,[ 0.85625],roc_auc,6.0
60,60,dictlearn,svc_l1,yes,no,COBRE,40,6,tangent,1500,yes,115,yes,[ 0.796875],roc_auc,6.0
61,61,dictlearn,svc_l2,yes,no,COBRE,40,6,tangent,1500,yes,115,yes,[ 0.871875],roc_auc,6.0
62,62,dictlearn,ridge,yes,no,COBRE,40,6,tangent,1500,yes,115,yes,[ 0.875],roc_auc,6.0
63,63,dictlearn,svc_l1,yes,no,COBRE,40,7,correlation,1500,yes,101,yes,[ 0.60625],roc_auc,6.0
64,64,dictlearn,svc_l2,yes,no,COBRE,40,7,correlation,1500,yes,101,yes,[ 0.75],roc_auc,6.0
65,65,dictlearn,ridge,yes,no,COBRE,40,7,correlation,1500,yes,101,yes,[ 0.753125],roc_auc,6.0
66,66,dictlearn,svc_l1,yes,no,COBRE,40,7,partial correlation,1500,yes,101,yes,[ 0.74375],roc_auc,6.0
67,67,dictlearn,svc_l2,yes,no,COBRE,40,7,partial correlation,1500,yes,101,yes,[ 0.85],roc_auc,6.0
68,68,dictlearn,ridge,yes,no,COBRE,40,7,partial correlation,1500,yes,101,yes,[ 0.85],roc_auc,6.0
69,69,dictlearn,svc_l1,yes,no,COBRE,40,7,tangent,1500,yes,101,yes,[ 0.6375],roc_auc,6.0
70,70,dictlearn,svc_l2,yes,no,COBRE,40,7,tangent,1500,yes,101,yes,[ 0.81875],roc_auc,6.0
71,71,dictlearn,ridge,yes,no,COBRE,40,7,tangent,1500,yes,101,yes,[ 0.821875],roc_auc,6.0
72,72,dictlearn,svc_l1,yes,no,COBRE,40,8,correlation,1500,yes,104,yes,[ 0.7125],roc_auc,6.0
73,73,dictlearn,svc_l2,yes,no,COBRE,40,8,correlation,1500,yes,104,yes,[ 0.8],roc_auc,6.0
74,74,dictlearn,ridge,yes,no,COBRE,40,8,correlation,1500,yes,104,yes,[ 0.796875],roc_auc,6.0
75,75,dictlearn,svc_l1,yes,no,COBRE,40,8,partial correlation,1500,yes,104,yes,[ 0.521875],roc_auc,6.0
76,76,dictlearn,svc_l2,yes,no,COBRE,40,8,partial correlation,1500,yes,104,yes,[ 0.809375],roc_auc,6.0
77,77,dictlearn,ridge,yes,no,COBRE,40,8,partial correlation,1500,yes,104,yes,[ 0.809375],roc_auc,6.0
78,78,dictlearn,svc_l1,yes,no,COBRE,40,8,tangent,1500,yes,104,yes,[ 0.6375],roc_auc,6.0
79,79,dictlearn,svc_l2,yes,no,COBRE,40,8,tangent,1500,yes,104,yes,[ 0.834375],roc_auc,6.0
80,80,dictlearn,ridge,yes,no,COBRE,40,8,tangent,1500,yes,104,yes,[ 0.828125],roc_auc,6.0
81,81,dictlearn,svc_l1,yes,no,COBRE,40,9,correlation,1500,yes,107,yes,[ 0.684375],roc_auc,6.0
82,82,dictlearn,svc_l2,yes,no,COBRE,40,9,correlation,1500,yes,107,yes,[ 0.81875],roc_auc,6.0
83,83,dictlearn,ridge,yes,no,COBRE,40,9,correlation,1500,yes,107,yes,[ 0.846875],roc_auc,6.0
84,84,dictlearn,svc_l1,yes,no,COBRE,40,9,partial correlation,1500,yes,107,yes,[ 0.68125],roc_auc,6.0
85,85,dictlearn,svc_l2,yes,no,COBRE,40,9,partial correlation,1500,yes,107,yes,[ 0.828125],roc_auc,6.0
86,86,dictlearn,ridge,yes,no,COBRE,40,9,partial correlation,1500,yes,107,yes,[ 0.828125],roc_auc,6.0
87,87,dictlearn,svc_l1,yes,no,COBRE,40,9,tangent,1500,yes,107,yes,[ 0.640625],roc_auc,6.0
88,88,dictlearn,svc_l2,yes,no,COBRE,40,9,tangent,1500,yes,107,yes,[ 0.865625],roc_auc,6.0
89,89,dictlearn,ridge,yes,no,COBRE,40,9,tangent,1500,yes,107,yes,[ 0.865625],roc_auc,6.0
90,90,dictlearn,svc_l1,yes,no,COBRE,40,10,correlation,1500,yes,100,yes,[ 0.709375],roc_auc,6.0
91,91,dictlearn,svc_l2,yes,no,COBRE,40,10,correlation,1500,yes,100,yes,[ 0.725],roc_auc,6.0
92,92,dictlearn,ridge,yes,no,COBRE,40,10,correlation,1500,yes,100,yes,[ 0.74375],roc_auc,6.0
93,93,dictlearn,svc_l1,yes,no,COBRE,40,10,partial correlation,1500,yes,100,yes,[ 0.628125],roc_auc,6.0
94,94,dictlearn,svc_l2,yes,no,COBRE,40,10,partial correlation,1500,yes,100,yes,[ 0.7],roc_auc,6.0
95,95,dictlearn,ridge,yes,no,COBRE,40,10,partial correlation,1500,yes,100,yes,[ 0.7],roc_auc,6.0
96,96,dictlearn,svc_l1,yes,no,COBRE,40,10,tangent,1500,yes,100,yes,[ 0.615625],roc_auc,6.0
97,97,dictlearn,svc_l2,yes,no,COBRE,40,10,tangent,1500,yes,100,yes,[ 0.759375],roc_auc,6.0
98,98,dictlearn,ridge,yes,no,COBRE,40,10,tangent,1500,yes,100,yes,[ 0.759375],roc_auc,6.0
99,99,dictlearn,svc_l1,yes,no,COBRE,40,11,correlation,1500,yes,109,yes,[ 0.80625],roc_auc,6.0
100,100,dictlearn,svc_l2,yes,no,COBRE,40,11,correlation,1500,yes,109,yes,[ 0.875],roc_auc,6.0
101,101,dictlearn,ridge,yes,no,COBRE,40,11,correlation,1500,yes,109,yes,[ 0.878125],roc_auc,6.0
102,102,dictlearn,svc_l1,yes,no,COBRE,40,11,partial correlation,1500,yes,109,yes,[ 0.715625],roc_auc,6.0
103,103,dictlearn,svc_l2,yes,no,COBRE,40,11,partial correlation,1500,yes,109,yes,[ 0.9],roc_auc,6.0
104,104,dictlearn,ridge,yes,no,COBRE,40,11,partial correlation,1500,yes,109,yes,[ 0.896875],roc_auc,6.0
105,105,dictlearn,svc_l1,yes,no,COBRE,40,11,tangent,1500,yes,109,yes,[ 0.821875],roc_auc,6.0
106,106,dictlearn,svc_l2,yes,no,COBRE,40,11,tangent,1500,yes,109,yes,[ 0.928125],roc_auc,6.0
107,107,dictlearn,ridge,yes,no,COBRE,40,11,tangent,1500,yes,109,yes,[ 0.925],roc_auc,6.0
