,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
73,basc_scale122,svc_l2,COBRE,2,correlation,NA,0.759375,122
74,basc_scale122,ridge,COBRE,2,correlation,NA,0.75625,122
75,basc_scale122,svc_l1,COBRE,2,partial correlation,NA,0.60625,122
76,basc_scale122,svc_l2,COBRE,2,partial correlation,NA,0.834375,122
77,basc_scale122,ridge,COBRE,2,partial correlation,NA,0.83125,122
78,basc_scale122,svc_l1,COBRE,2,tangent,NA,0.728125,122
79,basc_scale122,svc_l2,COBRE,2,tangent,NA,0.853125,122
80,basc_scale122,ridge,COBRE,2,tangent,NA,0.853125,122
81,ho_cort_symm_split,svc_l1,COBRE,3,correlation,NA,0.784375,96
82,ho_cort_symm_split,svc_l2,COBRE,3,correlation,NA,0.74375,96
83,ho_cort_symm_split,ridge,COBRE,3,correlation,NA,0.74375,96
84,ho_cort_symm_split,svc_l1,COBRE,3,partial correlation,NA,0.48125,96
85,ho_cort_symm_split,svc_l2,COBRE,3,partial correlation,NA,0.646875,96
86,ho_cort_symm_split,ridge,COBRE,3,partial correlation,NA,0.646875,96
87,ho_cort_symm_split,svc_l1,COBRE,3,tangent,NA,0.6375,96
88,ho_cort_symm_split,svc_l2,COBRE,3,tangent,NA,0.784375,96
89,ho_cort_symm_split,ridge,COBRE,3,tangent,NA,0.784375,96
90,aal_spm12,svc_l1,COBRE,3,correlation,NA,0.746875,117
91,aal_spm12,svc_l2,COBRE,3,correlation,NA,0.71875,117
92,aal_spm12,ridge,COBRE,3,correlation,NA,0.7375,117
93,aal_spm12,svc_l1,COBRE,3,partial correlation,NA,0.51875,117
94,aal_spm12,svc_l2,COBRE,3,partial correlation,NA,0.778125,117
95,aal_spm12,ridge,COBRE,3,partial correlation,NA,0.778125,117
96,aal_spm12,svc_l1,COBRE,3,tangent,NA,0.6125,117
97,aal_spm12,svc_l2,COBRE,3,tangent,NA,0.796875,117
98,aal_spm12,ridge,COBRE,3,tangent,NA,0.796875,117
99,basc_scale122,svc_l1,COBRE,3,correlation,NA,0.71875,122
100,basc_scale122,svc_l2,COBRE,3,correlation,NA,0.790625,122
101,basc_scale122,ridge,COBRE,3,correlation,NA,0.778125,122
102,basc_scale122,svc_l1,COBRE,3,partial correlation,NA,0.540625,122
103,basc_scale122,svc_l2,COBRE,3,partial correlation,NA,0.725,122
104,basc_scale122,ridge,COBRE,3,partial correlation,NA,0.725,122
105,basc_scale122,svc_l1,COBRE,3,tangent,NA,0.69375,122
106,basc_scale122,svc_l2,COBRE,3,tangent,NA,0.8125,122
107,basc_scale122,ridge,COBRE,3,tangent,NA,0.815625,122
108,ho_cort_symm_split,svc_l1,COBRE,4,correlation,NA,0.6375,96
109,ho_cort_symm_split,svc_l2,COBRE,4,correlation,NA,0.6375,96
110,ho_cort_symm_split,ridge,COBRE,4,correlation,NA,0.634375,96
111,ho_cort_symm_split,svc_l1,COBRE,4,partial correlation,NA,0.590625,96
112,ho_cort_symm_split,svc_l2,COBRE,4,partial correlation,NA,0.71875,96
113,ho_cort_symm_split,ridge,COBRE,4,partial correlation,NA,0.71875,96
114,ho_cort_symm_split,svc_l1,COBRE,4,tangent,NA,0.675,96
115,ho_cort_symm_split,svc_l2,COBRE,4,tangent,NA,0.80625,96
116,ho_cort_symm_split,ridge,COBRE,4,tangent,NA,0.80625,96
117,aal_spm12,svc_l1,COBRE,4,correlation,NA,0.496875,117
118,aal_spm12,svc_l2,COBRE,4,correlation,NA,0.621875,117
119,aal_spm12,ridge,COBRE,4,correlation,NA,0.603125,117
120,aal_spm12,svc_l1,COBRE,4,partial correlation,NA,0.228125,117
121,aal_spm12,svc_l2,COBRE,4,partial correlation,NA,0.675,117
122,aal_spm12,ridge,COBRE,4,partial correlation,NA,0.678125,117
123,aal_spm12,svc_l1,COBRE,4,tangent,NA,0.409375,117
124,aal_spm12,svc_l2,COBRE,4,tangent,NA,0.784375,117
125,aal_spm12,ridge,COBRE,4,tangent,NA,0.7875,117
126,basc_scale122,svc_l1,COBRE,4,correlation,NA,0.7125,122
127,basc_scale122,svc_l2,COBRE,4,correlation,NA,0.64375,122
128,basc_scale122,ridge,COBRE,4,correlation,NA,0.646875,122
129,basc_scale122,svc_l1,COBRE,4,partial correlation,NA,0.478125,122
130,basc_scale122,svc_l2,COBRE,4,partial correlation,NA,0.7875,122
131,basc_scale122,ridge,COBRE,4,partial correlation,NA,0.7875,122
