,Unnamed: 0,atlas,classifier,compcor_10,connectome_regress,dataset,iter_shuffle_split,measure,motion_regress,n_clusters,n_components,n_iter,n_regions,scores,scoring,smoothing_fwhm
43,43,aal_spm12,svc_l2,yes,no,COBRE,1.0,tangent,yes,,,,117,[ 0.83125],roc_auc,6.0
44,44,aal_spm12,ridge,yes,no,COBRE,1.0,tangent,yes,,,,117,[ 0.828125],roc_auc,6.0
45,45,basc_scale122,svc_l1,yes,no,COBRE,1.0,correlation,yes,,,,122,[ 0.578125],roc_auc,6.0
46,46,basc_scale122,svc_l2,yes,no,COBRE,1.0,correlation,yes,,,,122,[ 0.65625],roc_auc,6.0
47,47,basc_scale122,ridge,yes,no,COBRE,1.0,correlation,yes,,,,122,[ 0.65625],roc_auc,6.0
48,48,basc_scale122,svc_l1,yes,no,COBRE,1.0,partial correlation,yes,,,,122,[ 0.5625],roc_auc,6.0
49,49,basc_scale122,svc_l2,yes,no,COBRE,1.0,partial correlation,yes,,,,122,[ 0.753125],roc_auc,6.0
50,50,basc_scale122,ridge,yes,no,COBRE,1.0,partial correlation,yes,,,,122,[ 0.753125],roc_auc,6.0
51,51,basc_scale122,svc_l1,yes,no,COBRE,1.0,tangent,yes,,,,122,[ 0.69375],roc_auc,6.0
52,52,basc_scale122,svc_l2,yes,no,COBRE,1.0,tangent,yes,,,,122,[ 0.80625],roc_auc,6.0
53,53,basc_scale122,ridge,yes,no,COBRE,1.0,tangent,yes,,,,122,[ 0.80625],roc_auc,6.0
54,54,ho_cort_symm_split,svc_l1,yes,no,COBRE,2.0,correlation,yes,,,,96,[ 0.78125],roc_auc,6.0
55,55,ho_cort_symm_split,svc_l2,yes,no,COBRE,2.0,correlation,yes,,,,96,[ 0.7625],roc_auc,6.0
56,56,ho_cort_symm_split,ridge,yes,no,COBRE,2.0,correlation,yes,,,,96,[ 0.771875],roc_auc,6.0
57,57,ho_cort_symm_split,svc_l1,yes,no,COBRE,2.0,partial correlation,yes,,,,96,[ 0.603125],roc_auc,6.0
58,58,ho_cort_symm_split,svc_l2,yes,no,COBRE,2.0,partial correlation,yes,,,,96,[ 0.728125],roc_auc,6.0
59,59,ho_cort_symm_split,ridge,yes,no,COBRE,2.0,partial correlation,yes,,,,96,[ 0.728125],roc_auc,6.0
60,60,ho_cort_symm_split,svc_l1,yes,no,COBRE,2.0,tangent,yes,,,,96,[ 0.665625],roc_auc,6.0
61,61,ho_cort_symm_split,svc_l2,yes,no,COBRE,2.0,tangent,yes,,,,96,[ 0.815625],roc_auc,6.0
62,62,ho_cort_symm_split,ridge,yes,no,COBRE,2.0,tangent,yes,,,,96,[ 0.81875],roc_auc,6.0
63,63,aal_spm12,svc_l1,yes,no,COBRE,2.0,correlation,yes,,,,117,[ 0.753125],roc_auc,6.0
64,64,aal_spm12,svc_l2,yes,no,COBRE,2.0,correlation,yes,,,,117,[ 0.75],roc_auc,6.0
65,65,aal_spm12,ridge,yes,no,COBRE,2.0,correlation,yes,,,,117,[ 0.74375],roc_auc,6.0
66,66,aal_spm12,svc_l1,yes,no,COBRE,2.0,partial correlation,yes,,,,117,[ 0.45625],roc_auc,6.0
67,67,aal_spm12,svc_l2,yes,no,COBRE,2.0,partial correlation,yes,,,,117,[ 0.778125],roc_auc,6.0
68,68,aal_spm12,ridge,yes,no,COBRE,2.0,partial correlation,yes,,,,117,[ 0.78125],roc_auc,6.0
69,69,aal_spm12,svc_l1,yes,no,COBRE,2.0,tangent,yes,,,,117,[ 0.646875],roc_auc,6.0
70,70,aal_spm12,svc_l2,yes,no,COBRE,2.0,tangent,yes,,,,117,[ 0.853125],roc_auc,6.0
71,71,aal_spm12,ridge,yes,no,COBRE,2.0,tangent,yes,,,,117,[ 0.853125],roc_auc,6.0
72,72,basc_scale122,svc_l1,yes,no,COBRE,2.0,correlation,yes,,,,122,[ 0.66875],roc_auc,6.0
73,73,basc_scale122,svc_l2,yes,no,COBRE,2.0,correlation,yes,,,,122,[ 0.759375],roc_auc,6.0
74,74,basc_scale122,ridge,yes,no,COBRE,2.0,correlation,yes,,,,122,[ 0.75625],roc_auc,6.0
75,75,basc_scale122,svc_l1,yes,no,COBRE,2.0,partial correlation,yes,,,,122,[ 0.60625],roc_auc,6.0
76,76,basc_scale122,svc_l2,yes,no,COBRE,2.0,partial correlation,yes,,,,122,[ 0.834375],roc_auc,6.0
77,77,basc_scale122,ridge,yes,no,COBRE,2.0,partial correlation,yes,,,,122,[ 0.83125],roc_auc,6.0
78,78,basc_scale122,svc_l1,yes,no,COBRE,2.0,tangent,yes,,,,122,[ 0.728125],roc_auc,6.0
79,79,basc_scale122,svc_l2,yes,no,COBRE,2.0,tangent,yes,,,,122,[ 0.853125],roc_auc,6.0
80,80,basc_scale122,ridge,yes,no,COBRE,2.0,tangent,yes,,,,122,[ 0.853125],roc_auc,6.0
81,81,ho_cort_symm_split,svc_l1,yes,no,COBRE,3.0,correlation,yes,,,,96,[ 0.784375],roc_auc,6.0
82,82,ho_cort_symm_split,svc_l2,yes,no,COBRE,3.0,correlation,yes,,,,96,[ 0.74375],roc_auc,6.0
83,83,ho_cort_symm_split,ridge,yes,no,COBRE,3.0,correlation,yes,,,,96,[ 0.74375],roc_auc,6.0
84,84,ho_cort_symm_split,svc_l1,yes,no,COBRE,3.0,partial correlation,yes,,,,96,[ 0.48125],roc_auc,6.0
85,85,ho_cort_symm_split,svc_l2,yes,no,COBRE,3.0,partial correlation,yes,,,,96,[ 0.646875],roc_auc,6.0
86,86,ho_cort_symm_split,ridge,yes,no,COBRE,3.0,partial correlation,yes,,,,96,[ 0.646875],roc_auc,6.0
87,87,ho_cort_symm_split,svc_l1,yes,no,COBRE,3.0,tangent,yes,,,,96,[ 0.6375],roc_auc,6.0
88,88,ho_cort_symm_split,svc_l2,yes,no,COBRE,3.0,tangent,yes,,,,96,[ 0.784375],roc_auc,6.0
89,89,ho_cort_symm_split,ridge,yes,no,COBRE,3.0,tangent,yes,,,,96,[ 0.784375],roc_auc,6.0
90,90,aal_spm12,svc_l1,yes,no,COBRE,3.0,correlation,yes,,,,117,[ 0.746875],roc_auc,6.0
91,91,aal_spm12,svc_l2,yes,no,COBRE,3.0,correlation,yes,,,,117,[ 0.71875],roc_auc,6.0
92,92,aal_spm12,ridge,yes,no,COBRE,3.0,correlation,yes,,,,117,[ 0.7375],roc_auc,6.0
93,93,aal_spm12,svc_l1,yes,no,COBRE,3.0,partial correlation,yes,,,,117,[ 0.51875],roc_auc,6.0
94,94,aal_spm12,svc_l2,yes,no,COBRE,3.0,partial correlation,yes,,,,117,[ 0.778125],roc_auc,6.0
95,95,aal_spm12,ridge,yes,no,COBRE,3.0,partial correlation,yes,,,,117,[ 0.778125],roc_auc,6.0
96,96,aal_spm12,svc_l1,yes,no,COBRE,3.0,tangent,yes,,,,117,[ 0.6125],roc_auc,6.0
97,97,aal_spm12,svc_l2,yes,no,COBRE,3.0,tangent,yes,,,,117,[ 0.796875],roc_auc,6.0
98,98,aal_spm12,ridge,yes,no,COBRE,3.0,tangent,yes,,,,117,[ 0.796875],roc_auc,6.0
99,99,basc_scale122,svc_l1,yes,no,COBRE,3.0,correlation,yes,,,,122,[ 0.71875],roc_auc,6.0
100,100,basc_scale122,svc_l2,yes,no,COBRE,3.0,correlation,yes,,,,122,[ 0.790625],roc_auc,6.0
101,101,basc_scale122,ridge,yes,no,COBRE,3.0,correlation,yes,,,,122,[ 0.778125],roc_auc,6.0
102,102,basc_scale122,svc_l1,yes,no,COBRE,3.0,partial correlation,yes,,,,122,[ 0.540625],roc_auc,6.0
103,103,basc_scale122,svc_l2,yes,no,COBRE,3.0,partial correlation,yes,,,,122,[ 0.725],roc_auc,6.0
104,104,basc_scale122,ridge,yes,no,COBRE,3.0,partial correlation,yes,,,,122,[ 0.725],roc_auc,6.0
105,105,basc_scale122,svc_l1,yes,no,COBRE,3.0,tangent,yes,,,,122,[ 0.69375],roc_auc,6.0
106,106,basc_scale122,svc_l2,yes,no,COBRE,3.0,tangent,yes,,,,122,[ 0.8125],roc_auc,6.0
107,107,basc_scale122,ridge,yes,no,COBRE,3.0,tangent,yes,,,,122,[ 0.815625],roc_auc,6.0
108,108,ho_cort_symm_split,svc_l1,yes,no,COBRE,4.0,correlation,yes,,,,96,[ 0.6375],roc_auc,6.0
109,109,ho_cort_symm_split,svc_l2,yes,no,COBRE,4.0,correlation,yes,,,,96,[ 0.6375],roc_auc,6.0
110,110,ho_cort_symm_split,ridge,yes,no,COBRE,4.0,correlation,yes,,,,96,[ 0.634375],roc_auc,6.0
111,111,ho_cort_symm_split,svc_l1,yes,no,COBRE,4.0,partial correlation,yes,,,,96,[ 0.590625],roc_auc,6.0
112,112,ho_cort_symm_split,svc_l2,yes,no,COBRE,4.0,partial correlation,yes,,,,96,[ 0.71875],roc_auc,6.0
113,113,ho_cort_symm_split,ridge,yes,no,COBRE,4.0,partial correlation,yes,,,,96,[ 0.71875],roc_auc,6.0
114,114,ho_cort_symm_split,svc_l1,yes,no,COBRE,4.0,tangent,yes,,,,96,[ 0.675],roc_auc,6.0
115,115,ho_cort_symm_split,svc_l2,yes,no,COBRE,4.0,tangent,yes,,,,96,[ 0.80625],roc_auc,6.0
116,116,ho_cort_symm_split,ridge,yes,no,COBRE,4.0,tangent,yes,,,,96,[ 0.80625],roc_auc,6.0
117,117,aal_spm12,svc_l1,yes,no,COBRE,4.0,correlation,yes,,,,117,[ 0.496875],roc_auc,6.0
118,118,aal_spm12,svc_l2,yes,no,COBRE,4.0,correlation,yes,,,,117,[ 0.621875],roc_auc,6.0
119,119,aal_spm12,ridge,yes,no,COBRE,4.0,correlation,yes,,,,117,[ 0.603125],roc_auc,6.0
120,120,aal_spm12,svc_l1,yes,no,COBRE,4.0,partial correlation,yes,,,,117,[ 0.228125],roc_auc,6.0
121,121,aal_spm12,svc_l2,yes,no,COBRE,4.0,partial correlation,yes,,,,117,[ 0.675],roc_auc,6.0
122,122,aal_spm12,ridge,yes,no,COBRE,4.0,partial correlation,yes,,,,117,[ 0.678125],roc_auc,6.0
123,123,aal_spm12,svc_l1,yes,no,COBRE,4.0,tangent,yes,,,,117,[ 0.409375],roc_auc,6.0
124,124,aal_spm12,svc_l2,yes,no,COBRE,4.0,tangent,yes,,,,117,[ 0.784375],roc_auc,6.0
125,125,aal_spm12,ridge,yes,no,COBRE,4.0,tangent,yes,,,,117,[ 0.7875],roc_auc,6.0
126,126,basc_scale122,svc_l1,yes,no,COBRE,4.0,correlation,yes,,,,122,[ 0.7125],roc_auc,6.0
127,127,basc_scale122,svc_l2,yes,no,COBRE,4.0,correlation,yes,,,,122,[ 0.64375],roc_auc,6.0
128,128,basc_scale122,ridge,yes,no,COBRE,4.0,correlation,yes,,,,122,[ 0.646875],roc_auc,6.0
129,129,basc_scale122,svc_l1,yes,no,COBRE,4.0,partial correlation,yes,,,,122,[ 0.478125],roc_auc,6.0
130,130,basc_scale122,svc_l2,yes,no,COBRE,4.0,partial correlation,yes,,,,122,[ 0.7875],roc_auc,6.0
131,131,basc_scale122,ridge,yes,no,COBRE,4.0,partial correlation,yes,,,,122,[ 0.7875],roc_auc,6.0
132,132,basc_scale122,svc_l1,yes,no,COBRE,4.0,tangent,yes,,,,122,[ 0.709375],roc_auc,6.0
133,133,basc_scale122,svc_l2,yes,no,COBRE,4.0,tangent,yes,,,,122,[ 0.821875],roc_auc,6.0
134,134,basc_scale122,ridge,yes,no,COBRE,4.0,tangent,yes,,,,122,[ 0.825],roc_auc,6.0
135,135,ho_cort_symm_split,svc_l1,yes,no,COBRE,5.0,correlation,yes,,,,96,[ 0.590625],roc_auc,6.0
136,136,ho_cort_symm_split,svc_l2,yes,no,COBRE,5.0,correlation,yes,,,,96,[ 0.675],roc_auc,6.0
137,137,ho_cort_symm_split,ridge,yes,no,COBRE,5.0,correlation,yes,,,,96,[ 0.70625],roc_auc,6.0
138,138,ho_cort_symm_split,svc_l1,yes,no,COBRE,5.0,partial correlation,yes,,,,96,[ 0.553125],roc_auc,6.0
139,139,ho_cort_symm_split,svc_l2,yes,no,COBRE,5.0,partial correlation,yes,,,,96,[ 0.575],roc_auc,6.0
140,140,ho_cort_symm_split,ridge,yes,no,COBRE,5.0,partial correlation,yes,,,,96,[ 0.575],roc_auc,6.0
141,141,ho_cort_symm_split,svc_l1,yes,no,COBRE,5.0,tangent,yes,,,,96,[ 0.5125],roc_auc,6.0
142,142,ho_cort_symm_split,svc_l2,yes,no,COBRE,5.0,tangent,yes,,,,96,[ 0.609375],roc_auc,6.0
143,143,ho_cort_symm_split,ridge,yes,no,COBRE,5.0,tangent,yes,,,,96,[ 0.60625],roc_auc,6.0
144,144,aal_spm12,svc_l1,yes,no,COBRE,5.0,correlation,yes,,,,117,[ 0.70625],roc_auc,6.0
145,145,aal_spm12,svc_l2,yes,no,COBRE,5.0,correlation,yes,,,,117,[ 0.725],roc_auc,6.0
146,146,aal_spm12,ridge,yes,no,COBRE,5.0,correlation,yes,,,,117,[ 0.74375],roc_auc,6.0
147,147,aal_spm12,svc_l1,yes,no,COBRE,5.0,partial correlation,yes,,,,117,[ 0.403125],roc_auc,6.0
148,148,aal_spm12,svc_l2,yes,no,COBRE,5.0,partial correlation,yes,,,,117,[ 0.6875],roc_auc,6.0
149,149,aal_spm12,ridge,yes,no,COBRE,5.0,partial correlation,yes,,,,117,[ 0.6875],roc_auc,6.0
150,150,aal_spm12,svc_l1,yes,no,COBRE,5.0,tangent,yes,,,,117,[ 0.659375],roc_auc,6.0
151,151,aal_spm12,svc_l2,yes,no,COBRE,5.0,tangent,yes,,,,117,[ 0.7375],roc_auc,6.0
152,152,aal_spm12,ridge,yes,no,COBRE,5.0,tangent,yes,,,,117,[ 0.7375],roc_auc,6.0
153,153,basc_scale122,svc_l1,yes,no,COBRE,5.0,correlation,yes,,,,122,[ 0.65],roc_auc,6.0
154,154,basc_scale122,svc_l2,yes,no,COBRE,5.0,correlation,yes,,,,122,[ 0.671875],roc_auc,6.0
155,155,basc_scale122,ridge,yes,no,COBRE,5.0,correlation,yes,,,,122,[ 0.675],roc_auc,6.0
156,156,basc_scale122,svc_l1,yes,no,COBRE,5.0,partial correlation,yes,,,,122,[ 0.584375],roc_auc,6.0
157,157,basc_scale122,svc_l2,yes,no,COBRE,5.0,partial correlation,yes,,,,122,[ 0.715625],roc_auc,6.0
158,158,basc_scale122,ridge,yes,no,COBRE,5.0,partial correlation,yes,,,,122,[ 0.7125],roc_auc,6.0
159,159,basc_scale122,svc_l1,yes,no,COBRE,5.0,tangent,yes,,,,122,[ 0.68125],roc_auc,6.0
160,160,basc_scale122,svc_l2,yes,no,COBRE,5.0,tangent,yes,,,,122,[ 0.7375],roc_auc,6.0
161,161,basc_scale122,ridge,yes,no,COBRE,5.0,tangent,yes,,,,122,[ 0.7375],roc_auc,6.0
162,162,ho_cort_symm_split,svc_l1,yes,no,COBRE,6.0,correlation,yes,,,,96,[ 0.675],roc_auc,6.0
163,163,ho_cort_symm_split,svc_l2,yes,no,COBRE,6.0,correlation,yes,,,,96,[ 0.73125],roc_auc,6.0
164,164,ho_cort_symm_split,ridge,yes,no,COBRE,6.0,correlation,yes,,,,96,[ 0.728125],roc_auc,6.0
165,165,ho_cort_symm_split,svc_l1,yes,no,COBRE,6.0,partial correlation,yes,,,,96,[ 0.615625],roc_auc,6.0
166,166,ho_cort_symm_split,svc_l2,yes,no,COBRE,6.0,partial correlation,yes,,,,96,[ 0.7125],roc_auc,6.0
167,167,ho_cort_symm_split,ridge,yes,no,COBRE,6.0,partial correlation,yes,,,,96,[ 0.7125],roc_auc,6.0
168,168,ho_cort_symm_split,svc_l1,yes,no,COBRE,6.0,tangent,yes,,,,96,[ 0.5625],roc_auc,6.0
169,169,ho_cort_symm_split,svc_l2,yes,no,COBRE,6.0,tangent,yes,,,,96,[ 0.753125],roc_auc,6.0
170,170,ho_cort_symm_split,ridge,yes,no,COBRE,6.0,tangent,yes,,,,96,[ 0.753125],roc_auc,6.0
171,171,aal_spm12,svc_l1,yes,no,COBRE,6.0,correlation,yes,,,,117,[ 0.746875],roc_auc,6.0
172,172,aal_spm12,svc_l2,yes,no,COBRE,6.0,correlation,yes,,,,117,[ 0.709375],roc_auc,6.0
173,173,aal_spm12,ridge,yes,no,COBRE,6.0,correlation,yes,,,,117,[ 0.703125],roc_auc,6.0
174,174,aal_spm12,svc_l1,yes,no,COBRE,6.0,partial correlation,yes,,,,117,[ 0.496875],roc_auc,6.0
175,175,aal_spm12,svc_l2,yes,no,COBRE,6.0,partial correlation,yes,,,,117,[ 0.815625],roc_auc,6.0
176,176,aal_spm12,ridge,yes,no,COBRE,6.0,partial correlation,yes,,,,117,[ 0.815625],roc_auc,6.0
177,177,aal_spm12,svc_l1,yes,no,COBRE,6.0,tangent,yes,,,,117,[ 0.5875],roc_auc,6.0
178,178,aal_spm12,svc_l2,yes,no,COBRE,6.0,tangent,yes,,,,117,[ 0.8625],roc_auc,6.0
179,179,aal_spm12,ridge,yes,no,COBRE,6.0,tangent,yes,,,,117,[ 0.8625],roc_auc,6.0
180,180,basc_scale122,svc_l1,yes,no,COBRE,6.0,correlation,yes,,,,122,[ 0.665625],roc_auc,6.0
181,181,basc_scale122,svc_l2,yes,no,COBRE,6.0,correlation,yes,,,,122,[ 0.696875],roc_auc,6.0
182,182,basc_scale122,ridge,yes,no,COBRE,6.0,correlation,yes,,,,122,[ 0.678125],roc_auc,6.0
183,183,basc_scale122,svc_l1,yes,no,COBRE,6.0,partial correlation,yes,,,,122,[ 0.69375],roc_auc,6.0
184,184,basc_scale122,svc_l2,yes,no,COBRE,6.0,partial correlation,yes,,,,122,[ 0.815625],roc_auc,6.0
185,185,basc_scale122,ridge,yes,no,COBRE,6.0,partial correlation,yes,,,,122,[ 0.815625],roc_auc,6.0
186,186,basc_scale122,svc_l1,yes,no,COBRE,6.0,tangent,yes,,,,122,[ 0.7375],roc_auc,6.0
187,187,basc_scale122,svc_l2,yes,no,COBRE,6.0,tangent,yes,,,,122,[ 0.8375],roc_auc,6.0
188,188,basc_scale122,ridge,yes,no,COBRE,6.0,tangent,yes,,,,122,[ 0.840625],roc_auc,6.0
189,189,ho_cort_symm_split,svc_l1,yes,no,COBRE,7.0,correlation,yes,,,,96,[ 0.6],roc_auc,6.0
190,190,ho_cort_symm_split,svc_l2,yes,no,COBRE,7.0,correlation,yes,,,,96,[ 0.696875],roc_auc,6.0
191,191,ho_cort_symm_split,ridge,yes,no,COBRE,7.0,correlation,yes,,,,96,[ 0.703125],roc_auc,6.0
192,192,ho_cort_symm_split,svc_l1,yes,no,COBRE,7.0,partial correlation,yes,,,,96,[ 0.6],roc_auc,6.0
193,193,ho_cort_symm_split,svc_l2,yes,no,COBRE,7.0,partial correlation,yes,,,,96,[ 0.696875],roc_auc,6.0
194,194,ho_cort_symm_split,ridge,yes,no,COBRE,7.0,partial correlation,yes,,,,96,[ 0.690625],roc_auc,6.0
195,195,ho_cort_symm_split,svc_l1,yes,no,COBRE,7.0,tangent,yes,,,,96,[ 0.684375],roc_auc,6.0
