,atlas,classifier,dataset,measure,scores
110,aal_spm12,ridge,acpi,correlation,0.38671875
111,aal_spm12,svc_l1,acpi,partial correlation,0.6171875
112,aal_spm12,svc_l2,acpi,partial correlation,0.57421875
113,aal_spm12,ridge,acpi,partial correlation,0.57421875
114,aal_spm12,svc_l1,acpi,tangent,0.55859375
115,aal_spm12,svc_l2,acpi,tangent,0.53125
116,aal_spm12,ridge,acpi,tangent,0.515625
117,aal_spm12,svc_l1,acpi,correlation,0.3828125
118,aal_spm12,svc_l2,acpi,correlation,0.38671875
119,aal_spm12,ridge,acpi,correlation,0.39453125
120,aal_spm12,svc_l1,acpi,partial correlation,0.48828125
121,aal_spm12,svc_l2,acpi,partial correlation,0.44921875
122,aal_spm12,ridge,acpi,partial correlation,0.4765625
123,aal_spm12,svc_l1,acpi,tangent,0.40625
124,aal_spm12,svc_l2,acpi,tangent,0.375
125,aal_spm12,ridge,acpi,tangent,0.38671875
126,aal_spm12,svc_l1,acpi,correlation,0.40625
127,aal_spm12,svc_l2,acpi,correlation,0.546875
128,aal_spm12,ridge,acpi,correlation,0.54296875
129,aal_spm12,svc_l1,acpi,partial correlation,0.390625
130,aal_spm12,svc_l2,acpi,partial correlation,0.4453125
131,aal_spm12,ridge,acpi,partial correlation,0.44140625
132,aal_spm12,svc_l1,acpi,tangent,0.46875
133,aal_spm12,svc_l2,acpi,tangent,0.49609375
134,aal_spm12,ridge,acpi,tangent,0.49609375
135,aal_spm12,svc_l1,acpi,correlation,0.57421875
136,aal_spm12,svc_l2,acpi,correlation,0.484375
137,aal_spm12,ridge,acpi,correlation,0.5
138,aal_spm12,svc_l1,acpi,partial correlation,0.5078125
139,aal_spm12,svc_l2,acpi,partial correlation,0.57421875
140,aal_spm12,ridge,acpi,partial correlation,0.57421875
141,aal_spm12,svc_l1,acpi,tangent,0.5703125
142,aal_spm12,svc_l2,acpi,tangent,0.5390625
143,aal_spm12,ridge,acpi,tangent,0.53515625
144,aal_spm12,svc_l1,acpi,correlation,0.46484375
145,aal_spm12,svc_l2,acpi,correlation,0.37890625
146,aal_spm12,ridge,acpi,correlation,0.3671875
147,aal_spm12,svc_l1,acpi,partial correlation,0.62890625
148,aal_spm12,svc_l2,acpi,partial correlation,0.53125
149,aal_spm12,ridge,acpi,partial correlation,0.53515625
150,aal_spm12,svc_l1,acpi,tangent,0.62109375
151,aal_spm12,svc_l2,acpi,tangent,0.5078125
152,aal_spm12,ridge,acpi,tangent,0.51171875
153,aal_spm12,svc_l1,acpi,correlation,0.50390625
154,aal_spm12,svc_l2,acpi,correlation,0.52734375
155,aal_spm12,ridge,acpi,correlation,0.515625
156,aal_spm12,svc_l1,acpi,partial correlation,0.60546875
157,aal_spm12,svc_l2,acpi,partial correlation,0.609375
158,aal_spm12,ridge,acpi,partial correlation,0.609375
159,aal_spm12,svc_l1,acpi,tangent,0.51953125
160,aal_spm12,svc_l2,acpi,tangent,0.6328125
161,aal_spm12,ridge,acpi,tangent,0.62890625
162,aal_spm12,svc_l1,acpi,correlation,0.53125
163,aal_spm12,svc_l2,acpi,correlation,0.6171875
164,aal_spm12,ridge,acpi,correlation,0.6171875
165,aal_spm12,svc_l1,acpi,partial correlation,0.5
166,aal_spm12,svc_l2,acpi,partial correlation,0.55078125
167,aal_spm12,ridge,acpi,partial correlation,0.5546875
168,aal_spm12,svc_l1,acpi,tangent,0.52734375
169,aal_spm12,svc_l2,acpi,tangent,0.57421875
170,aal_spm12,ridge,acpi,tangent,0.5546875
171,aal_spm12,svc_l1,acpi,correlation,0.41796875
172,aal_spm12,svc_l2,acpi,correlation,0.421875
173,aal_spm12,ridge,acpi,correlation,0.4296875
174,aal_spm12,svc_l1,acpi,partial correlation,0.69921875
175,aal_spm12,svc_l2,acpi,partial correlation,0.59765625
176,aal_spm12,ridge,acpi,partial correlation,0.59375
177,aal_spm12,svc_l1,acpi,tangent,0.5390625
178,aal_spm12,svc_l2,acpi,tangent,0.56640625
179,aal_spm12,ridge,acpi,tangent,0.56640625
180,aal_spm12,svc_l1,acpi,correlation,0.5234375
181,aal_spm12,svc_l2,acpi,correlation,0.56640625
182,aal_spm12,ridge,acpi,correlation,0.56640625
183,aal_spm12,svc_l1,acpi,partial correlation,0.50390625
184,aal_spm12,svc_l2,acpi,partial correlation,0.60546875
185,aal_spm12,ridge,acpi,partial correlation,0.60546875
186,aal_spm12,svc_l1,acpi,tangent,0.453125
187,aal_spm12,svc_l2,acpi,tangent,0.62109375
188,aal_spm12,ridge,acpi,tangent,0.625
