,atlas,classifier,dataset,measure,scores
8015,aal_spm12,ridge,adni,partial correlation,0.66666667
8016,aal_spm12,svc_l1,adni,tangent,0.62916667
8017,aal_spm12,svc_l2,adni,tangent,0.70416667
8018,aal_spm12,ridge,adni,tangent,0.70416667
8019,basc_scale122,svc_l1,adni,correlation,0.67083333
8020,basc_scale122,svc_l2,adni,correlation,0.75416667
8021,basc_scale122,ridge,adni,correlation,0.74583333
8022,basc_scale122,svc_l1,adni,partial correlation,0.67083333
8023,basc_scale122,svc_l2,adni,partial correlation,0.69166667
8024,basc_scale122,ridge,adni,partial correlation,0.69166667
8025,basc_scale122,svc_l1,adni,tangent,0.60833333
8026,basc_scale122,svc_l2,adni,tangent,0.8
8027,basc_scale122,ridge,adni,tangent,0.8375
8028,ho_cort_symm_split,svc_l1,adni,correlation,0.625
8029,ho_cort_symm_split,svc_l2,adni,correlation,0.69166667
8030,ho_cort_symm_split,ridge,adni,correlation,0.64583333
8031,ho_cort_symm_split,svc_l1,adni,partial correlation,0.26666667
8032,ho_cort_symm_split,svc_l2,adni,partial correlation,0.52916667
8033,ho_cort_symm_split,ridge,adni,partial correlation,0.52916667
8034,ho_cort_symm_split,svc_l1,adni,tangent,0.6
8035,ho_cort_symm_split,svc_l2,adni,tangent,0.5125
8036,ho_cort_symm_split,ridge,adni,tangent,0.50416667
8037,aal_spm12,svc_l1,adni,correlation,0.74583333
8038,aal_spm12,svc_l2,adni,correlation,0.62916667
8039,aal_spm12,ridge,adni,correlation,0.6375
8040,aal_spm12,svc_l1,adni,partial correlation,0.74166667
8041,aal_spm12,svc_l2,adni,partial correlation,0.56666667
8042,aal_spm12,ridge,adni,partial correlation,0.5625
8043,aal_spm12,svc_l1,adni,tangent,0.69166667
8044,aal_spm12,svc_l2,adni,tangent,0.60416667
8045,aal_spm12,ridge,adni,tangent,0.575
8046,basc_scale122,svc_l1,adni,correlation,0.72083333
8047,basc_scale122,svc_l2,adni,correlation,0.73333333
8048,basc_scale122,ridge,adni,correlation,0.70833333
8049,basc_scale122,svc_l1,adni,partial correlation,0.59166667
8050,basc_scale122,svc_l2,adni,partial correlation,0.59166667
8051,basc_scale122,ridge,adni,partial correlation,0.59583333
8052,basc_scale122,svc_l1,adni,tangent,0.675
8053,basc_scale122,svc_l2,adni,tangent,0.71666667
8054,basc_scale122,ridge,adni,tangent,0.64166667
8055,ho_cort_symm_split,svc_l1,adni,correlation,0.44583333
8056,ho_cort_symm_split,svc_l2,adni,correlation,0.4
8057,ho_cort_symm_split,ridge,adni,correlation,0.4125
8058,ho_cort_symm_split,svc_l1,adni,partial correlation,0.45
8059,ho_cort_symm_split,svc_l2,adni,partial correlation,0.50416667
8060,ho_cort_symm_split,ridge,adni,partial correlation,0.50416667
8061,ho_cort_symm_split,svc_l1,adni,tangent,0.5125
8062,ho_cort_symm_split,svc_l2,adni,tangent,0.47083333
8063,ho_cort_symm_split,ridge,adni,tangent,0.475
8064,aal_spm12,svc_l1,adni,correlation,0.625
8065,aal_spm12,svc_l2,adni,correlation,0.5625
8066,aal_spm12,ridge,adni,correlation,0.5625
8067,aal_spm12,svc_l1,adni,partial correlation,0.67916667
8068,aal_spm12,svc_l2,adni,partial correlation,0.59166667
8069,aal_spm12,ridge,adni,partial correlation,0.59583333
8070,aal_spm12,svc_l1,adni,tangent,0.55
8071,aal_spm12,svc_l2,adni,tangent,0.58333333
8072,aal_spm12,ridge,adni,tangent,0.575
8073,basc_scale122,svc_l1,adni,correlation,0.61666667
8074,basc_scale122,svc_l2,adni,correlation,0.62916667
8075,basc_scale122,ridge,adni,correlation,0.62916667
8076,basc_scale122,svc_l1,adni,partial correlation,0.77083333
8077,basc_scale122,svc_l2,adni,partial correlation,0.50416667
8078,basc_scale122,ridge,adni,partial correlation,0.50416667
8079,basc_scale122,svc_l1,adni,tangent,0.71666667
8080,basc_scale122,svc_l2,adni,tangent,0.6
8081,basc_scale122,ridge,adni,tangent,0.57916667
8082,ho_cort_symm_split,svc_l1,adni,correlation,0.54583333
8083,ho_cort_symm_split,svc_l2,adni,correlation,0.62916667
8084,ho_cort_symm_split,ridge,adni,correlation,0.63333333
8085,ho_cort_symm_split,svc_l1,adni,partial correlation,0.4375
8086,ho_cort_symm_split,svc_l2,adni,partial correlation,0.74583333
8087,ho_cort_symm_split,ridge,adni,partial correlation,0.74166667
8088,ho_cort_symm_split,svc_l1,adni,tangent,0.59166667
8089,ho_cort_symm_split,svc_l2,adni,tangent,0.725
8090,ho_cort_symm_split,ridge,adni,tangent,0.70416667
8091,aal_spm12,svc_l1,adni,correlation,0.65833333
8092,aal_spm12,svc_l2,adni,correlation,0.575
8093,aal_spm12,ridge,adni,correlation,0.5875
8094,aal_spm12,svc_l1,adni,partial correlation,0.49583333
8095,aal_spm12,svc_l2,adni,partial correlation,0.47083333
8096,aal_spm12,ridge,adni,partial correlation,0.47916667
8097,aal_spm12,svc_l1,adni,tangent,0.56666667
8098,aal_spm12,svc_l2,adni,tangent,0.45833333
8099,aal_spm12,ridge,adni,tangent,0.45416667
8100,basc_scale122,svc_l1,adni,correlation,0.81666667
8101,basc_scale122,svc_l2,adni,correlation,0.775
8102,basc_scale122,ridge,adni,correlation,0.76666667
8103,basc_scale122,svc_l1,adni,partial correlation,0.5125
8104,basc_scale122,svc_l2,adni,partial correlation,0.6875
8105,basc_scale122,ridge,adni,partial correlation,0.69166667
8106,basc_scale122,svc_l1,adni,tangent,0.76666667
8107,basc_scale122,svc_l2,adni,tangent,0.74583333
8108,basc_scale122,ridge,adni,tangent,0.69166667
8109,ho_cort_symm_split,svc_l1,adni,correlation,0.7
8110,ho_cort_symm_split,svc_l2,adni,correlation,0.70833333
8111,ho_cort_symm_split,ridge,adni,correlation,0.7125
8112,ho_cort_symm_split,svc_l1,adni,partial correlation,0.46666667
8113,ho_cort_symm_split,svc_l2,adni,partial correlation,0.54583333
8114,ho_cort_symm_split,ridge,adni,partial correlation,0.54166667
8115,ho_cort_symm_split,svc_l1,adni,tangent,0.60416667
8116,ho_cort_symm_split,svc_l2,adni,tangent,0.70416667
8117,ho_cort_symm_split,ridge,adni,tangent,0.6875
8118,aal_spm12,svc_l1,adni,correlation,0.75
8119,aal_spm12,svc_l2,adni,correlation,0.59166667
8120,aal_spm12,ridge,adni,correlation,0.575
8121,aal_spm12,svc_l1,adni,partial correlation,0.56666667
8122,aal_spm12,svc_l2,adni,partial correlation,0.7125
8123,aal_spm12,ridge,adni,partial correlation,0.72083333
8124,aal_spm12,svc_l1,adni,tangent,0.65416667
8125,aal_spm12,svc_l2,adni,tangent,0.76666667
8126,aal_spm12,ridge,adni,tangent,0.77083333
8127,basc_scale122,svc_l1,adni,correlation,0.74166667
8128,basc_scale122,svc_l2,adni,correlation,0.63333333
8129,basc_scale122,ridge,adni,correlation,0.63333333
8130,basc_scale122,svc_l1,adni,partial correlation,0.43333333
8131,basc_scale122,svc_l2,adni,partial correlation,0.51666667
8132,basc_scale122,ridge,adni,partial correlation,0.52083333
8133,basc_scale122,svc_l1,adni,tangent,0.67083333
8134,basc_scale122,svc_l2,adni,tangent,0.63333333
8135,basc_scale122,ridge,adni,tangent,0.64583333
8136,ho_cort_symm_split,svc_l1,adni,correlation,0.69166667
8137,ho_cort_symm_split,svc_l2,adni,correlation,0.71666667
8138,ho_cort_symm_split,ridge,adni,correlation,0.69583333
8139,ho_cort_symm_split,svc_l1,adni,partial correlation,0.42916667
8140,ho_cort_symm_split,svc_l2,adni,partial correlation,0.60833333
8141,ho_cort_symm_split,ridge,adni,partial correlation,0.60416667
8142,ho_cort_symm_split,svc_l1,adni,tangent,0.40416667
8143,ho_cort_symm_split,svc_l2,adni,tangent,0.75416667
8144,ho_cort_symm_split,ridge,adni,tangent,0.76666667
8145,aal_spm12,svc_l1,adni,correlation,0.63333333
8146,aal_spm12,svc_l2,adni,correlation,0.7
8147,aal_spm12,ridge,adni,correlation,0.70416667
8148,aal_spm12,svc_l1,adni,partial correlation,0.54166667
8149,aal_spm12,svc_l2,adni,partial correlation,0.55416667
8150,aal_spm12,ridge,adni,partial correlation,0.5625
8151,aal_spm12,svc_l1,adni,tangent,0.4625
8152,aal_spm12,svc_l2,adni,tangent,0.65833333
8153,aal_spm12,ridge,adni,tangent,0.65
8154,basc_scale122,svc_l1,adni,correlation,0.6
8155,basc_scale122,svc_l2,adni,correlation,0.73333333
8156,basc_scale122,ridge,adni,correlation,0.72916667
8157,basc_scale122,svc_l1,adni,partial correlation,0.59166667
8158,basc_scale122,svc_l2,adni,partial correlation,0.67083333
8159,basc_scale122,ridge,adni,partial correlation,0.66666667
8160,basc_scale122,svc_l1,adni,tangent,0.70416667
8161,basc_scale122,svc_l2,adni,tangent,0.7875
8162,basc_scale122,ridge,adni,tangent,0.78333333
8163,ho_cort_symm_split,svc_l1,adni,correlation,0.5625
8164,ho_cort_symm_split,svc_l2,adni,correlation,0.58333333
8165,ho_cort_symm_split,ridge,adni,correlation,0.5875
8166,ho_cort_symm_split,svc_l1,adni,partial correlation,0.39166667
8167,ho_cort_symm_split,svc_l2,adni,partial correlation,0.62083333
8168,ho_cort_symm_split,ridge,adni,partial correlation,0.62083333
8169,ho_cort_symm_split,svc_l1,adni,tangent,0.5625
8170,ho_cort_symm_split,svc_l2,adni,tangent,0.62916667
8171,ho_cort_symm_split,ridge,adni,tangent,0.61666667
8172,aal_spm12,svc_l1,adni,correlation,0.69583333
8173,aal_spm12,svc_l2,adni,correlation,0.65833333
8174,aal_spm12,ridge,adni,correlation,0.65416667
8175,aal_spm12,svc_l1,adni,partial correlation,0.55
8176,aal_spm12,svc_l2,adni,partial correlation,0.5625
8177,aal_spm12,ridge,adni,partial correlation,0.56666667
8178,aal_spm12,svc_l1,adni,tangent,0.55
8179,aal_spm12,svc_l2,adni,tangent,0.69166667
8180,aal_spm12,ridge,adni,tangent,0.66666667
8181,basc_scale122,svc_l1,adni,correlation,0.76666667
8182,basc_scale122,svc_l2,adni,correlation,0.725
8183,basc_scale122,ridge,adni,correlation,0.74166667
8184,basc_scale122,svc_l1,adni,partial correlation,0.6
8185,basc_scale122,svc_l2,adni,partial correlation,0.62083333
8186,basc_scale122,ridge,adni,partial correlation,0.61666667
8187,basc_scale122,svc_l1,adni,tangent,0.675
8188,basc_scale122,svc_l2,adni,tangent,0.69583333
8189,basc_scale122,ridge,adni,tangent,0.68333333
8190,ho_cort_symm_split,svc_l1,adni,correlation,0.45
8191,ho_cort_symm_split,svc_l2,adni,correlation,0.60833333
8192,ho_cort_symm_split,ridge,adni,correlation,0.60416667
8193,ho_cort_symm_split,svc_l1,adni,partial correlation,0.46666667
8194,ho_cort_symm_split,svc_l2,adni,partial correlation,0.53333333
8195,ho_cort_symm_split,ridge,adni,partial correlation,0.5375
8196,ho_cort_symm_split,svc_l1,adni,tangent,0.57916667
8197,ho_cort_symm_split,svc_l2,adni,tangent,0.6
8198,ho_cort_symm_split,ridge,adni,tangent,0.6125
8199,aal_spm12,svc_l1,adni,correlation,0.6625
8200,aal_spm12,svc_l2,adni,correlation,0.675
8201,aal_spm12,ridge,adni,correlation,0.6875
8202,aal_spm12,svc_l1,adni,partial correlation,0.55
8203,aal_spm12,svc_l2,adni,partial correlation,0.5375
8204,aal_spm12,ridge,adni,partial correlation,0.5375
8205,aal_spm12,svc_l1,adni,tangent,0.68333333
8206,aal_spm12,svc_l2,adni,tangent,0.65
8207,aal_spm12,ridge,adni,tangent,0.675
8208,basc_scale122,svc_l1,adni,correlation,0.5875
8209,basc_scale122,svc_l2,adni,correlation,0.60833333
8210,basc_scale122,ridge,adni,correlation,0.6375
8211,basc_scale122,svc_l1,adni,partial correlation,0.40833333
8212,basc_scale122,svc_l2,adni,partial correlation,0.65416667
8213,basc_scale122,ridge,adni,partial correlation,0.65416667
8214,basc_scale122,svc_l1,adni,tangent,0.77083333
8215,basc_scale122,svc_l2,adni,tangent,0.74583333
8216,basc_scale122,ridge,adni,tangent,0.7625
8217,ho_cort_symm_split,svc_l1,adni,correlation,0.56666667
8218,ho_cort_symm_split,svc_l2,adni,correlation,0.73333333
8219,ho_cort_symm_split,ridge,adni,correlation,0.74583333
8220,ho_cort_symm_split,svc_l1,adni,partial correlation,0.45833333
8221,ho_cort_symm_split,svc_l2,adni,partial correlation,0.45833333
8222,ho_cort_symm_split,ridge,adni,partial correlation,0.46666667
8223,ho_cort_symm_split,svc_l1,adni,tangent,0.72916667
8224,ho_cort_symm_split,svc_l2,adni,tangent,0.61666667
8225,ho_cort_symm_split,ridge,adni,tangent,0.63333333
8226,aal_spm12,svc_l1,adni,correlation,0.81666667
8227,aal_spm12,svc_l2,adni,correlation,0.84166667
8228,aal_spm12,ridge,adni,correlation,0.85416667
8229,aal_spm12,svc_l1,adni,partial correlation,0.625
8230,aal_spm12,svc_l2,adni,partial correlation,0.42083333
8231,aal_spm12,ridge,adni,partial correlation,0.425
8232,aal_spm12,svc_l1,adni,tangent,0.57083333
8233,aal_spm12,svc_l2,adni,tangent,0.55
8234,aal_spm12,ridge,adni,tangent,0.56666667
8235,basc_scale122,svc_l1,adni,correlation,0.72916667
8236,basc_scale122,svc_l2,adni,correlation,0.825
8237,basc_scale122,ridge,adni,correlation,0.8375
8238,basc_scale122,svc_l1,adni,partial correlation,0.55833333
8239,basc_scale122,svc_l2,adni,partial correlation,0.63333333
8240,basc_scale122,ridge,adni,partial correlation,0.6375
8241,basc_scale122,svc_l1,adni,tangent,0.66666667
8242,basc_scale122,svc_l2,adni,tangent,0.77916667
8243,basc_scale122,ridge,adni,tangent,0.81666667
8244,ho_cort_symm_split,svc_l1,adni,correlation,0.65
8245,ho_cort_symm_split,svc_l2,adni,correlation,0.49166667
8246,ho_cort_symm_split,ridge,adni,correlation,0.5
8247,ho_cort_symm_split,svc_l1,adni,partial correlation,0.41666667
8248,ho_cort_symm_split,svc_l2,adni,partial correlation,0.82083333
8249,ho_cort_symm_split,ridge,adni,partial correlation,0.82083333
8250,ho_cort_symm_split,svc_l1,adni,tangent,0.52916667
8251,ho_cort_symm_split,svc_l2,adni,tangent,0.75833333
8252,ho_cort_symm_split,ridge,adni,tangent,0.74583333
8253,aal_spm12,svc_l1,adni,correlation,0.475
8254,aal_spm12,svc_l2,adni,correlation,0.5375
8255,aal_spm12,ridge,adni,correlation,0.53333333
8256,aal_spm12,svc_l1,adni,partial correlation,0.49583333
8257,aal_spm12,svc_l2,adni,partial correlation,0.59583333
8258,aal_spm12,ridge,adni,partial correlation,0.6
8259,aal_spm12,svc_l1,adni,tangent,0.63333333
8260,aal_spm12,svc_l2,adni,tangent,0.68333333
8261,aal_spm12,ridge,adni,tangent,0.65
8262,basc_scale122,svc_l1,adni,correlation,0.70833333
8263,basc_scale122,svc_l2,adni,correlation,0.675
8264,basc_scale122,ridge,adni,correlation,0.67083333
8265,basc_scale122,svc_l1,adni,partial correlation,0.55416667
8266,basc_scale122,svc_l2,adni,partial correlation,0.62083333
8267,basc_scale122,ridge,adni,partial correlation,0.62083333
8268,basc_scale122,svc_l1,adni,tangent,0.85
8269,basc_scale122,svc_l2,adni,tangent,0.7875
8270,basc_scale122,ridge,adni,tangent,0.75833333
8271,ho_cort_symm_split,svc_l1,adni,correlation,0.54166667
8272,ho_cort_symm_split,svc_l2,adni,correlation,0.60416667
8273,ho_cort_symm_split,ridge,adni,correlation,0.59166667
8274,ho_cort_symm_split,svc_l1,adni,partial correlation,0.54166667
8275,ho_cort_symm_split,svc_l2,adni,partial correlation,0.47083333
8276,ho_cort_symm_split,ridge,adni,partial correlation,0.475
8277,ho_cort_symm_split,svc_l1,adni,tangent,0.48333333
8278,ho_cort_symm_split,svc_l2,adni,tangent,0.50833333
8279,ho_cort_symm_split,ridge,adni,tangent,0.4875
8280,aal_spm12,svc_l1,adni,correlation,0.47083333
8281,aal_spm12,svc_l2,adni,correlation,0.60416667
8282,aal_spm12,ridge,adni,correlation,0.55833333
8283,aal_spm12,svc_l1,adni,partial correlation,0.5125
8284,aal_spm12,svc_l2,adni,partial correlation,0.6375
8285,aal_spm12,ridge,adni,partial correlation,0.6375
8286,aal_spm12,svc_l1,adni,tangent,0.65833333
8287,aal_spm12,svc_l2,adni,tangent,0.61666667
8288,aal_spm12,ridge,adni,tangent,0.64166667
8289,basc_scale122,svc_l1,adni,correlation,0.65
8290,basc_scale122,svc_l2,adni,correlation,0.64166667
8291,basc_scale122,ridge,adni,correlation,0.63333333
8292,basc_scale122,svc_l1,adni,partial correlation,0.575
8293,basc_scale122,svc_l2,adni,partial correlation,0.75416667
8294,basc_scale122,ridge,adni,partial correlation,0.75416667
8295,basc_scale122,svc_l1,adni,tangent,0.825
8296,basc_scale122,svc_l2,adni,tangent,0.73333333
8297,basc_scale122,ridge,adni,tangent,0.70833333
8298,ho_cort_symm_split,svc_l1,adni,correlation,0.40833333
8299,ho_cort_symm_split,svc_l2,adni,correlation,0.56666667
8300,ho_cort_symm_split,ridge,adni,correlation,0.575
8301,ho_cort_symm_split,svc_l1,adni,partial correlation,0.45416667
8302,ho_cort_symm_split,svc_l2,adni,partial correlation,0.69583333
8303,ho_cort_symm_split,ridge,adni,partial correlation,0.69583333
8304,ho_cort_symm_split,svc_l1,adni,tangent,0.57916667
8305,ho_cort_symm_split,svc_l2,adni,tangent,0.6625
8306,ho_cort_symm_split,ridge,adni,tangent,0.67083333
8307,aal_spm12,svc_l1,adni,correlation,0.47083333
8308,aal_spm12,svc_l2,adni,correlation,0.5625
8309,aal_spm12,ridge,adni,correlation,0.57083333
8310,aal_spm12,svc_l1,adni,partial correlation,0.80416667
8311,aal_spm12,svc_l2,adni,partial correlation,0.61666667
8312,aal_spm12,ridge,adni,partial correlation,0.60833333
8313,aal_spm12,svc_l1,adni,tangent,0.5375
8314,aal_spm12,svc_l2,adni,tangent,0.6
8315,aal_spm12,ridge,adni,tangent,0.65
8316,basc_scale122,svc_l1,adni,correlation,0.67083333
8317,basc_scale122,svc_l2,adni,correlation,0.60833333
8318,basc_scale122,ridge,adni,correlation,0.62916667
8319,basc_scale122,svc_l1,adni,partial correlation,0.675
8320,basc_scale122,svc_l2,adni,partial correlation,0.71666667
8321,basc_scale122,ridge,adni,partial correlation,0.725
8322,basc_scale122,svc_l1,adni,tangent,0.69583333
8323,basc_scale122,svc_l2,adni,tangent,0.725
8324,basc_scale122,ridge,adni,tangent,0.75416667
8325,ho_cort_symm_split,svc_l1,adni,correlation,0.49583333
8326,ho_cort_symm_split,svc_l2,adni,correlation,0.625
8327,ho_cort_symm_split,ridge,adni,correlation,0.61666667
8328,ho_cort_symm_split,svc_l1,adni,partial correlation,0.4125
8329,ho_cort_symm_split,svc_l2,adni,partial correlation,0.7
8330,ho_cort_symm_split,ridge,adni,partial correlation,0.7
8331,ho_cort_symm_split,svc_l1,adni,tangent,0.48333333
8332,ho_cort_symm_split,svc_l2,adni,tangent,0.6625
8333,ho_cort_symm_split,ridge,adni,tangent,0.65
8334,aal_spm12,svc_l1,adni,correlation,0.67083333
8335,aal_spm12,svc_l2,adni,correlation,0.70833333
8336,aal_spm12,ridge,adni,correlation,0.69583333
8337,aal_spm12,svc_l1,adni,partial correlation,0.625
8338,aal_spm12,svc_l2,adni,partial correlation,0.62083333
8339,aal_spm12,ridge,adni,partial correlation,0.62083333
8340,aal_spm12,svc_l1,adni,tangent,0.66666667
8341,aal_spm12,svc_l2,adni,tangent,0.71666667
8342,aal_spm12,ridge,adni,tangent,0.72083333
8343,basc_scale122,svc_l1,adni,correlation,0.675
8344,basc_scale122,svc_l2,adni,correlation,0.77083333
8345,basc_scale122,ridge,adni,correlation,0.75416667
8346,basc_scale122,svc_l1,adni,partial correlation,0.64166667
8347,basc_scale122,svc_l2,adni,partial correlation,0.54166667
8348,basc_scale122,ridge,adni,partial correlation,0.54166667
8349,basc_scale122,svc_l1,adni,tangent,0.61666667
8350,basc_scale122,svc_l2,adni,tangent,0.71666667
8351,basc_scale122,ridge,adni,tangent,0.70416667
8352,ho_cort_symm_split,svc_l1,adni,correlation,0.57916667
8353,ho_cort_symm_split,svc_l2,adni,correlation,0.5
8354,ho_cort_symm_split,ridge,adni,correlation,0.51666667
8355,ho_cort_symm_split,svc_l1,adni,partial correlation,0.37083333
8356,ho_cort_symm_split,svc_l2,adni,partial correlation,0.32083333
8357,ho_cort_symm_split,ridge,adni,partial correlation,0.31666667
8358,ho_cort_symm_split,svc_l1,adni,tangent,0.5
8359,ho_cort_symm_split,svc_l2,adni,tangent,0.54583333
8360,ho_cort_symm_split,ridge,adni,tangent,0.54166667
8361,aal_spm12,svc_l1,adni,correlation,0.5375
8362,aal_spm12,svc_l2,adni,correlation,0.54166667
8363,aal_spm12,ridge,adni,correlation,0.5375
8364,aal_spm12,svc_l1,adni,partial correlation,0.7125
8365,aal_spm12,svc_l2,adni,partial correlation,0.425
8366,aal_spm12,ridge,adni,partial correlation,0.41666667
8367,aal_spm12,svc_l1,adni,tangent,0.5375
8368,aal_spm12,svc_l2,adni,tangent,0.49583333
8369,aal_spm12,ridge,adni,tangent,0.47916667
8370,basc_scale122,svc_l1,adni,correlation,0.69166667
8371,basc_scale122,svc_l2,adni,correlation,0.65416667
8372,basc_scale122,ridge,adni,correlation,0.65416667
8373,basc_scale122,svc_l1,adni,partial correlation,0.6125
8374,basc_scale122,svc_l2,adni,partial correlation,0.60416667
8375,basc_scale122,ridge,adni,partial correlation,0.60416667
8376,basc_scale122,svc_l1,adni,tangent,0.69166667
8377,basc_scale122,svc_l2,adni,tangent,0.67916667
8378,basc_scale122,ridge,adni,tangent,0.69583333
8379,ho_cort_symm_split,svc_l1,adni,correlation,0.5375
8380,ho_cort_symm_split,svc_l2,adni,correlation,0.6125
8381,ho_cort_symm_split,ridge,adni,correlation,0.60833333
8382,ho_cort_symm_split,svc_l1,adni,partial correlation,0.55833333
8383,ho_cort_symm_split,svc_l2,adni,partial correlation,0.63333333
8384,ho_cort_symm_split,ridge,adni,partial correlation,0.63333333
8385,ho_cort_symm_split,svc_l1,adni,tangent,0.725
8386,ho_cort_symm_split,svc_l2,adni,tangent,0.67916667
8387,ho_cort_symm_split,ridge,adni,tangent,0.72083333
8388,aal_spm12,svc_l1,adni,correlation,0.71666667
8389,aal_spm12,svc_l2,adni,correlation,0.74583333
8390,aal_spm12,ridge,adni,correlation,0.73333333
8391,aal_spm12,svc_l1,adni,partial correlation,0.52916667
8392,aal_spm12,svc_l2,adni,partial correlation,0.63333333
8393,aal_spm12,ridge,adni,partial correlation,0.62916667
8394,aal_spm12,svc_l1,adni,tangent,0.66666667
8395,aal_spm12,svc_l2,adni,tangent,0.63333333
8396,aal_spm12,ridge,adni,tangent,0.70416667
8397,basc_scale122,svc_l1,adni,correlation,0.66666667
8398,basc_scale122,svc_l2,adni,correlation,0.74583333
8399,basc_scale122,ridge,adni,correlation,0.74166667
8400,basc_scale122,svc_l1,adni,partial correlation,0.5
8401,basc_scale122,svc_l2,adni,partial correlation,0.79166667
8402,basc_scale122,ridge,adni,partial correlation,0.7875
8403,basc_scale122,svc_l1,adni,tangent,0.78333333
8404,basc_scale122,svc_l2,adni,tangent,0.73333333
8405,basc_scale122,ridge,adni,tangent,0.80416667
8406,ho_cort_symm_split,svc_l1,adni,correlation,0.72916667
8407,ho_cort_symm_split,svc_l2,adni,correlation,0.7
8408,ho_cort_symm_split,ridge,adni,correlation,0.6875
8409,ho_cort_symm_split,svc_l1,adni,partial correlation,0.42916667
8410,ho_cort_symm_split,svc_l2,adni,partial correlation,0.67916667
8411,ho_cort_symm_split,ridge,adni,partial correlation,0.67916667
8412,ho_cort_symm_split,svc_l1,adni,tangent,0.6125
8413,ho_cort_symm_split,svc_l2,adni,tangent,0.6875
8414,ho_cort_symm_split,ridge,adni,tangent,0.72083333
8415,aal_spm12,svc_l1,adni,correlation,0.74166667
8416,aal_spm12,svc_l2,adni,correlation,0.675
8417,aal_spm12,ridge,adni,correlation,0.69583333
8418,aal_spm12,svc_l1,adni,partial correlation,0.3875
8419,aal_spm12,svc_l2,adni,partial correlation,0.53333333
8420,aal_spm12,ridge,adni,partial correlation,0.53333333
8421,aal_spm12,svc_l1,adni,tangent,0.58333333
8422,aal_spm12,svc_l2,adni,tangent,0.59583333
8423,aal_spm12,ridge,adni,tangent,0.59583333
8424,basc_scale122,svc_l1,adni,correlation,0.6125
8425,basc_scale122,svc_l2,adni,correlation,0.64583333
8426,basc_scale122,ridge,adni,correlation,0.625
8427,basc_scale122,svc_l1,adni,partial correlation,0.54166667
8428,basc_scale122,svc_l2,adni,partial correlation,0.5625
8429,basc_scale122,ridge,adni,partial correlation,0.55416667
8430,basc_scale122,svc_l1,adni,tangent,0.65
8431,basc_scale122,svc_l2,adni,tangent,0.7375
8432,basc_scale122,ridge,adni,tangent,0.78333333
8433,ho_cort_symm_split,svc_l1,adni,correlation,0.75416667
8434,ho_cort_symm_split,svc_l2,adni,correlation,0.74166667
8435,ho_cort_symm_split,ridge,adni,correlation,0.73333333
8436,ho_cort_symm_split,svc_l1,adni,partial correlation,0.59166667
8437,ho_cort_symm_split,svc_l2,adni,partial correlation,0.64583333
8438,ho_cort_symm_split,ridge,adni,partial correlation,0.64166667
8439,ho_cort_symm_split,svc_l1,adni,tangent,0.76666667
8440,ho_cort_symm_split,svc_l2,adni,tangent,0.74166667
8441,ho_cort_symm_split,ridge,adni,tangent,0.75833333
8442,aal_spm12,svc_l1,adni,correlation,0.57083333
8443,aal_spm12,svc_l2,adni,correlation,0.77083333
8444,aal_spm12,ridge,adni,correlation,0.77916667
8445,aal_spm12,svc_l1,adni,partial correlation,0.55833333
8446,aal_spm12,svc_l2,adni,partial correlation,0.5875
8447,aal_spm12,ridge,adni,partial correlation,0.59166667
8448,aal_spm12,svc_l1,adni,tangent,0.75833333
8449,aal_spm12,svc_l2,adni,tangent,0.70833333
8450,aal_spm12,ridge,adni,tangent,0.72083333
8451,basc_scale122,svc_l1,adni,correlation,0.56666667
8452,basc_scale122,svc_l2,adni,correlation,0.72083333
8453,basc_scale122,ridge,adni,correlation,0.69583333
8454,basc_scale122,svc_l1,adni,partial correlation,0.5875
8455,basc_scale122,svc_l2,adni,partial correlation,0.66666667
8456,basc_scale122,ridge,adni,partial correlation,0.67083333
8457,basc_scale122,svc_l1,adni,tangent,0.775
8458,basc_scale122,svc_l2,adni,tangent,0.81666667
8459,basc_scale122,ridge,adni,tangent,0.83333333
8460,ho_cort_symm_split,svc_l1,adni,correlation,0.6
8461,ho_cort_symm_split,svc_l2,adni,correlation,0.56666667
8462,ho_cort_symm_split,ridge,adni,correlation,0.55
8463,ho_cort_symm_split,svc_l1,adni,partial correlation,0.62083333
8464,ho_cort_symm_split,svc_l2,adni,partial correlation,0.62083333
8465,ho_cort_symm_split,ridge,adni,partial correlation,0.62916667
8466,ho_cort_symm_split,svc_l1,adni,tangent,0.52083333
8467,ho_cort_symm_split,svc_l2,adni,tangent,0.59583333
8468,ho_cort_symm_split,ridge,adni,tangent,0.64583333
8469,aal_spm12,svc_l1,adni,correlation,0.51666667
8470,aal_spm12,svc_l2,adni,correlation,0.61666667
8471,aal_spm12,ridge,adni,correlation,0.60833333
8472,aal_spm12,svc_l1,adni,partial correlation,0.55833333
8473,aal_spm12,svc_l2,adni,partial correlation,0.6625
8474,aal_spm12,ridge,adni,partial correlation,0.65833333
8475,aal_spm12,svc_l1,adni,tangent,0.6125
8476,aal_spm12,svc_l2,adni,tangent,0.57916667
8477,aal_spm12,ridge,adni,tangent,0.60833333
8478,basc_scale122,svc_l1,adni,correlation,0.74583333
8479,basc_scale122,svc_l2,adni,correlation,0.77083333
8480,basc_scale122,ridge,adni,correlation,0.7875
8481,basc_scale122,svc_l1,adni,partial correlation,0.6375
8482,basc_scale122,svc_l2,adni,partial correlation,0.63333333
