,atlas,classifier,dataset,dimensionality,iter_shuffle_split,measure,n_regions,scores
66,aal_spm12,svc_l1,ABIDE,117,2,partial correlation,,[ 0.63033459]
67,aal_spm12,svc_l2,ABIDE,117,2,partial correlation,,[ 0.67104814]
68,aal_spm12,ridge,ABIDE,117,2,partial correlation,,[ 0.67156026]
69,aal_spm12,svc_l1,ABIDE,117,2,tangent,,[ 0.60182656]
70,aal_spm12,svc_l2,ABIDE,117,2,tangent,,[ 0.71176169]
71,aal_spm12,ridge,ABIDE,117,2,tangent,,[ 0.71159099]
72,basc_scale122,svc_l1,ABIDE,122,2,correlation,,[ 0.63366337]
73,basc_scale122,svc_l2,ABIDE,122,2,correlation,,[ 0.6484295]
74,basc_scale122,ridge,ABIDE,122,2,correlation,,[ 0.63434619]
75,basc_scale122,svc_l1,ABIDE,122,2,partial correlation,,[ 0.60891089]
76,basc_scale122,svc_l2,ABIDE,122,2,partial correlation,,[ 0.69332537]
77,basc_scale122,ridge,ABIDE,122,2,partial correlation,,[ 0.69537385]
78,basc_scale122,svc_l1,ABIDE,122,2,tangent,,[ 0.66703653]
79,basc_scale122,svc_l2,ABIDE,122,2,tangent,,[ 0.7132127]
80,basc_scale122,ridge,ABIDE,122,2,tangent,,[ 0.71372482]
81,ho_cort_symm_split,svc_l1,ABIDE,96,3,correlation,,[ 0.69230113]
82,ho_cort_symm_split,svc_l2,ABIDE,96,3,correlation,,[ 0.69750768]
83,ho_cort_symm_split,ridge,ABIDE,96,3,correlation,,[ 0.66464664]
84,ho_cort_symm_split,svc_l1,ABIDE,96,3,partial correlation,,[ 0.53192216]
85,ho_cort_symm_split,svc_l2,ABIDE,96,3,partial correlation,,[ 0.54301809]
86,ho_cort_symm_split,ridge,ABIDE,96,3,partial correlation,,[ 0.54327416]
87,ho_cort_symm_split,svc_l1,ABIDE,96,3,tangent,,[ 0.56503926]
88,ho_cort_symm_split,svc_l2,ABIDE,96,3,tangent,,[ 0.66225674]
89,ho_cort_symm_split,ridge,ABIDE,96,3,tangent,,[ 0.65730625]
90,aal_spm12,svc_l1,ABIDE,117,3,correlation,,[ 0.64407648]
91,aal_spm12,svc_l2,ABIDE,117,3,correlation,,[ 0.6674633]
92,aal_spm12,ridge,ABIDE,117,3,correlation,,[ 0.6597815]
93,aal_spm12,svc_l1,ABIDE,117,3,partial correlation,,[ 0.64279618]
94,aal_spm12,svc_l2,ABIDE,117,3,partial correlation,,[ 0.6573916]
